Location_ID,Lattitude,Longitude
0,41.915187259,-87.775425225
1,41.90806448,-87.76950279
2,41.823065163,-87.719443092
3,41.77268533,-87.582630022
4,41.92714148,-87.672107209
5,41.895407767,-87.67459435
6,41.764778049,-87.676555423
7,41.894243758,-87.634138304
8,41.944546322,-87.642907067
9,41.943109462,-87.703726075
10,41.792107119,-87.617530185
11,41.994694359,-87.684872359
12,41.910118996,-87.781744243
13,41.909902879,-87.647420884
14,41.914174117,-87.639402483
15,41.942461078,-87.655401097
16,41.677161987,-87.619347092
17,41.727503622,-87.606173276
18,41.944567545,-87.642785537
19,41.921648217,-87.659946308
20,41.763236237,-87.559802041
21,41.971008987,-87.680479243
22,41.892402053,-87.66874509
23,41.870724666,-87.628597294
24,41.801583507,-87.633177068
25,41.796271512,-87.770648751
26,41.88058568,-87.640023065
27,41.913106296,-87.710163933
28,41.899228723,-87.752030004
29,41.900179235,-87.673505784
30,41.854864309,-87.724846958
31,41.764682386,-87.663785792
32,41.904442607,-87.661941839
33,41.896058183,-87.654804865
34,41.913330126,-87.6726429
35,41.944539064,-87.647648907
36,41.881907051,-87.704628385
37,41.899682405,-87.726214187
38,41.65125265,-87.537454574
39,41.911108919,-87.773087417
40,41.880555964,-87.64192187
41,41.807068516,-87.750479736
42,41.836428389,-87.72433908
43,41.806625332,-87.703934484
44,41.752864125,-87.584440569
45,41.932294457,-87.685468046
46,41.756094667,-87.644615424
47,41.990198328,-87.773302998
48,41.922662343,-87.72616174
49,41.888165132,-87.622937212
50,41.789072518,-87.60496086
51,41.759292223,-87.647901899
52,41.96891909,-87.719493509
53,41.73866716,-87.64855362
54,41.751270452,-87.585822373
55,41.675084692,-87.641815679
56,41.968015993,-87.760873695
57,41.720171149,-87.646826965
58,41.763357176,-87.597000911
59,41.825298645,-87.6069609
60,41.763036021,-87.588475196
61,41.711640975,-87.569712649
62,41.943906217,-87.779519668
63,41.751256776,-87.606792121
64,41.844026941,-87.622100808
65,41.764817814,-87.595822246
66,41.884497529,-87.625838595
67,41.925684458,-87.773838171
68,41.749139052,-87.709696425
69,41.777838795,-87.734946581
70,41.952416375,-87.776751316
71,41.690254625,-87.621021983
72,41.802031713,-87.59049938
73,41.854015399,-87.634514225
74,41.692281606,-87.613361976
75,41.75906511,-87.560647478
76,41.771785861,-87.641756824
77,41.766105452,-87.662634666
78,41.944870277,-87.775159162
79,41.925857793,-87.695006589
80,41.891569089,-87.763437251
81,42.007229555,-87.661447148
82,41.867551819,-87.659141229
83,41.874071583,-87.674648259
84,41.668189482,-87.620471046
85,41.721810028,-87.576555727
86,41.964495979,-87.736777131
87,41.826480161,-87.60632748
88,41.853729318,-87.697199858
89,41.846929597,-87.69040029
90,41.860396443,-87.707933763
91,41.928349655,-87.642857579
92,41.743528707,-87.578257475
93,41.887446958,-87.712058654
94,41.758970818,-87.624778076
95,41.679244262,-87.637129451
96,41.755929033,-87.657389725
97,41.900893574,-87.720711151
98,41.68098439,-87.629953941
99,41.81811276,-87.60674129
100,41.879637902,-87.736054156
101,41.75319928,-87.653808492
102,41.954494653,-87.723966372
103,41.875413319,-87.714069875
104,41.912162426,-87.727627964
105,41.888530155,-87.648696251
106,41.89972788,-87.666156654
107,41.682771727,-87.668819987
108,41.916180308,-87.635805796
109,41.876865939,-87.743434805
110,41.755462271,-87.708242523
111,41.964748236,-87.701847412
112,41.80866008,-87.604353876
113,41.997423281,-87.707333347
114,41.743553697,-87.609865368
115,41.879888156,-87.766478721
116,41.747705661,-87.550394781
117,41.78335683,-87.790025857
118,41.822208559,-87.60305923
119,41.901189742,-87.667434438
120,41.910029055,-87.7655435
121,41.906309742,-87.671102583
122,41.837862186,-87.621915865
123,41.706567182,-87.670131443
124,41.772433972,-87.647325758
125,41.731118301,-87.608411262
126,41.903774032,-87.679717307
127,41.777423832,-87.648368783
128,41.914802204,-87.694675876
129,41.774531367,-87.603362034
130,41.866604054,-87.686645691
131,41.860116574,-87.714019255
132,41.791492897,-87.675446702
133,41.814067397,-87.599355017
134,41.776176493,-87.706270666
135,41.866196509,-87.723513299
136,41.891527458,-87.662279107
137,41.942770267,-87.792214317
138,41.78308398,-87.735106809
139,41.81991376,-87.602535007
140,41.883893536,-87.738034295
141,41.769022335,-87.620206266
142,41.909374789,-87.685975384
143,41.914245621,-87.727689097
144,41.740330388,-87.6583228
145,41.772285481,-87.625115462
146,41.992840571,-87.688510886
147,41.882104019,-87.684778173
148,41.735915452,-87.712967967
149,41.888778301,-87.632512191
150,41.781870179,-87.597859754
151,41.708738371,-87.610149648
152,41.78532937,-87.700883134
153,41.89368433,-87.710484987
154,41.746523677,-87.636611928
155,41.853953807,-87.622244109
156,41.917114841,-87.654368752
157,41.830615654,-87.656142227
158,41.766212611,-87.643194942
159,41.76587359,-87.576294705
160,41.879116997,-87.757646932
161,41.923097164,-87.727954477
162,41.903935719,-87.6290881
163,41.693126882,-87.635160035
164,41.735720069,-87.668226842
165,41.979901242,-87.708781202
166,41.73527097,-87.66792005
167,41.915757435,-87.720400009
168,41.659183719,-87.553861272
169,41.778302329,-87.684835221
170,41.896175894,-87.66082001
171,41.955251103,-87.649721553
172,41.694752364,-87.699717154
173,41.775970586,-87.61311964
174,41.920549666,-87.748977836
175,41.976062697,-87.701367887
176,41.986755468,-87.699625337
177,41.747401022,-87.556455913
178,41.837356939,-87.698173016
179,41.695176989,-87.650706772
180,41.868666808,-87.743036575
181,41.907794034,-87.673427375
182,41.896341861,-87.722440573
183,41.743307923,-87.647196164
184,41.9090189,-87.677422819
185,41.796810166,-87.669520925
186,41.747014627,-87.603846064
187,41.752519908,-87.606477362
188,41.747077049,-87.591734208
189,41.904931589,-87.759736749
190,41.877391241,-87.700354449
191,41.900537169,-87.647939877
192,41.760705956,-87.575442797
193,41.79576708,-87.58088648
194,41.940387355,-87.767542077
195,41.908341777,-87.631585552
196,41.704031198,-87.636697329
197,41.757900544,-87.610243024
198,41.797534234,-87.676129394
199,41.972565417,-87.724511248
200,41.936584021,-87.68407211
201,41.873659944,-87.686233099
202,41.948080543,-87.654356395
203,41.867345159,-87.77002594
204,41.805912623,-87.684351458
205,41.748536319,-87.60146885
206,41.899968354,-87.667399375
207,41.981589242,-87.765930648
208,41.69486143,-87.719817923
209,41.917256686,-87.643634856
210,41.979794685,-87.765961291
211,41.874033297,-87.677068331
212,41.89875558,-87.626566464
213,41.926315836,-87.702910069
214,41.728509346,-87.628849615
215,41.73271665,-87.554082971
216,41.759737982,-87.607869329
217,41.747287044,-87.691333146
218,41.737836084,-87.647708744
219,41.744773909,-87.612325115
220,41.777967289,-87.615568353
221,41.955841635,-87.769537743
222,41.895816556,-87.755623755
223,41.684339534,-87.656726425
224,41.929019789,-87.653062881
225,41.79221937,-87.683994549
226,41.940348135,-87.663836801
227,41.736259374,-87.627075877
228,41.879202837,-87.626113652
229,41.893982855,-87.762097225
230,41.884473865,-87.74360353
231,41.851560833,-87.723927618
232,41.887999573,-87.774196498
233,41.822693681,-87.611209466
234,41.886735874,-87.652465
235,41.800260379,-87.735610903
236,41.833874394,-87.670477429
237,41.873480317,-87.624208705
238,41.882839503,-87.702019291
239,41.741493245,-87.707648848
240,41.899410159,-87.624131266
241,41.873907386,-87.757991096
242,41.866996231,-87.62741936
243,41.879886887,-87.629359567
244,41.90551177,-87.673590473
245,41.763547896,-87.565351419
246,41.784732216,-87.646127681
247,41.877469064,-87.648395724
248,41.974893932,-87.69054175
249,41.763066846,-87.623248524
250,41.721394792,-87.648612493
251,41.974264709,-87.843984516
252,41.75416291,-87.550382277
253,41.865313855,-87.720092741
254,41.750850677,-87.562578351
255,41.743557554,-87.601375156
256,41.922450447,-87.635737508
257,42.002795364,-87.663395916
258,41.830303694,-87.682886958
259,41.737814066,-87.624186291
260,41.776886079,-87.718747164
261,41.75037215,-87.662127829
262,41.770527154,-87.653405695
263,41.749423818,-87.607263538
264,41.957459538,-87.653308301
265,41.943411038,-87.726089896
266,41.956087835,-87.712980657
267,41.775709694,-87.640761478
268,41.774645533,-87.682162834
269,41.712423064,-87.620099717
270,41.924781923,-87.761094988
271,41.838799701,-87.695072506
272,41.871730951,-87.71669758
273,41.905545935,-87.683431561
274,41.771370289,-87.665208261
275,41.874520022,-87.754846231
276,41.845751204,-87.705077919
277,41.900348864,-87.762521688
278,41.770711832,-87.58257605
279,41.746528618,-87.624409206
280,41.877517962,-87.689091344
281,41.807583099,-87.669802194
282,41.768945319,-87.573930849
283,41.992486727,-87.776634099
