1,718,1630,703,1706,626,1741,534,1816,447,1849,418,1919,419,1930,444,1909,516,1824,547,1733,623,1645,658,1621
2,718,1631,702,1707,624,1742,532,1817,446,1850,418,1920,420,1929,445,1908,517,1823,548,1731,624,1644,659,1620
3,718,1632,701,1708,623,1743,531,1818,445,1851,417,1921,420,1929,446,1907,518,1821,550,1729,625,1643,701,1620
4,718,1633,700,1710,621,1744,529,1819,443,1852,417,1921,421,1929,447,1906,519,1819,551,1728,626,1642,702,1620
5,718,1634,659,1711,620,1746,527,1820,442,1853,417,1922,422,1929,448,1904,520,1818,552,1726,628,1640,703,1620
6,718,1635,658,1712,618,1747,526,1821,441,1854,416,1923,422,1928,449,1903,521,1816,553,1724,629,1639,703,1620
7,718,1636,657,1713,616,1748,524,1823,440,1855,416,1923,423,1928,450,1902,522,1814,554,1723,630,1638,704,1620
8,718,1637,656,1715,615,1749,522,1824,439,1857,416,1924,424,1928,451,1901,523,1813,555,1721,631,1637,705,1620
9,718,1638,654,1716,613,1750,521,1825,437,1858,416,1924,424,1927,452,1859,524,1811,556,1719,633,1636,706,1620
10,718,1639,653,1717,611,1751,519,1826,436,1859,415,1925,425,1927,454,1858,525,1809,557,1718,634,1635,707,1620
11,717,1640,652,1718,610,1752,517,1827,435,1900,415,1926,426,1926,455,1857,527,1807,558,1716,635,1634,708,1620
12,717,1641,651,1720,608,1754,516,1828,434,1901,415,1926,426,1926,456,1855,528,1806,559,1714,636,1633,709,1620
13,717,1642,649,1721,606,1755,514,1829,433,1902,415,1927,427,1925,457,1854,529,1804,601,1713,638,1632,710,1620
14,716,1644,648,1722,605,1756,512,1830,432,1903,415,1927,428,1925,458,1852,530,1802,602,1711,639,1631,710,1620
15,716,1645,647,1724,603,1757,511,1831,431,1904,415,1927,429,1924,459,1851,531,1801,603,1710,640,1630,711,1621
16,715,1646,645,1725,601,1758,509,1833,430,1905,415,1928,430,1924,500,1850,532,1759,604,1708,641,1629,712,1621
17,715,1647,644,1726,600,1759,508,1834,429,1906,415,1928,430,1923,501,1848,533,1757,605,1706,642,1629,712,1621
18,714,1648,643,1727,558,1800,506,1835,428,1907,415,1928,431,1922,502,1847,534,1755,606,1705,644,1628,713,1621
19,714,1649,641,1729,556,1802,505,1836,427,1908,415,1929,432,1921,503,1845,535,1754,607,1703,645,1627,714,1622
20,713,1651,640,1730,554,1803,503,1837,426,1909,416,1929,433,1921,504,1844,536,1752,609,1702,646,1626,714,1622
21,713,1652,638,1731,553,1804,502,1838,425,1910,416,1929,434,1920,505,1842,537,1750,610,1700,647,1626,715,1623
22,712,1653,637,1732,551,1805,500,1839,425,1911,416,1929,435,1919,506,1841,538,1748,611,1659,648,1625,715,1623
23,711,1654,635,1734,549,1806,459,1840,424,1912,416,1930,436,1918,507,1839,539,1747,612,1658,650,1624,716,1624
24,710,1656,634,1735,548,1807,457,1841,423,1912,417,1930,437,1917,508,1837,540,1745,613,1656,651,1624,716,1624
25,710,1657,632,1736,546,1808,456,1842,422,1913,417,1930,438,1916,509,1836,541,1743,614,1655,652,1623,717,1625
26,709,1658,631,1737,544,1809,454,1844,422,1914,417,1930,439,1915,510,1834,542,1741,616,1653,653,1623,717,1626
27,708,1659,629,1738,542,1810,453,1845,421,1915,418,1930,439,1914,511,1833,543,1740,617,1652,654,1622,717,1626
28,707,1701,628,1740,541,1812,451,1846,420,1916,418,1930,440,1913,512,1831,544,1738,618,1651,655,1622,718,1627
29,706,1702,,,539,1813,450,1847,420,1917,418,1930,441,1912,513,1829,545,1736,619,1649,656,1621,718,1628
30,705,1703,,,537,1814,449,1848,419,1918,419,1930,442,1911,514,1828,546,1734,620,1648,657,1621,718,1629
31,704,1704,,,536,1815,,,419,1918,,,443,1910,515,1826,,,622,1647,,,718,1629
