ID,Time_ID,Date_ID,Offense_ID,Location_ID
1,0,0,0,0
2,1,1,0,1
3,2,1,0,2
4,3,2,0,3
5,4,1,0,4
6,5,3,0,5
7,6,4,0,6
8,7,1,1,7
9,8,3,0,8
10,9,5,0,9
11,10,0,0,10
12,0,2,0,11
13,11,6,0,12
14,12,1,0,13
15,8,7,0,14
16,0,8,0,15
17,0,4,0,16
18,13,3,0,17
19,4,9,0,18
20,14,4,0,19
21,15,10,0,20
22,12,8,0,21
23,8,11,0,22
24,6,0,0,23
25,10,1,0,24
26,16,0,0,25
27,17,6,0,26
28,18,10,0,27
29,10,0,0,28
30,19,12,0,29
31,4,1,1,30
32,20,1,2,31
33,21,0,0,32
34,22,1,0,33
35,21,0,0,34
36,6,12,0,35
37,23,12,0,36
38,24,13,0,37
39,4,1,0,38
40,15,0,3,39
41,25,0,0,40
42,7,4,0,41
43,26,4,0,42
44,27,1,2,43
45,28,0,0,44
46,19,0,0,45
47,1,0,0,46
48,29,0,2,47
49,30,0,3,48
50,31,0,0,49
51,21,0,0,50
52,32,0,2,51
53,33,0,0,52
54,34,0,4,53
55,35,0,2,54
56,36,0,4,55
57,21,0,3,56
58,10,6,2,57
59,37,0,1,58
60,4,1,0,59
61,38,0,2,60
62,39,0,1,61
63,40,0,5,62
64,19,0,0,63
65,6,1,0,64
66,41,0,0,65
67,42,0,0,66
68,43,0,0,67
69,44,0,3,68
70,33,0,0,69
71,33,0,1,70
72,45,0,0,71
73,46,0,0,72
74,47,0,3,73
75,48,0,1,74
76,49,0,2,75
77,11,0,0,76
78,50,0,3,77
79,33,3,0,78
80,6,6,0,79
81,51,0,3,80
82,52,0,0,81
83,52,0,3,82
84,53,0,3,83
85,19,6,0,84
86,13,0,0,85
87,24,0,0,86
88,52,0,0,87
89,10,6,1,88
90,54,0,1,89
91,19,1,0,90
92,22,1,0,91
93,24,0,0,92
94,0,2,0,93
95,16,2,3,94
96,55,0,3,95
97,56,12,0,96
98,7,1,0,97
99,21,1,0,98
100,4,14,0,99
101,57,0,2,100
102,22,12,0,101
103,19,13,0,102
104,58,0,3,103
105,8,0,1,104
106,8,0,3,105
107,59,0,0,106
108,60,1,2,107
109,61,0,2,108
110,62,1,3,109
111,63,1,4,110
112,64,1,1,111
113,65,1,2,112
114,66,1,3,113
115,48,6,0,114
116,67,1,4,115
117,68,1,3,116
118,22,6,0,117
119,69,1,3,118
120,58,1,0,119
121,69,6,0,120
122,65,1,0,121
123,7,3,0,122
124,70,1,0,123
125,71,1,4,124
126,72,1,1,125
127,12,1,0,126
128,73,1,2,127
129,22,10,0,128
130,13,1,0,129
131,74,1,3,130
132,33,1,3,131
133,1,6,2,132
134,22,6,0,133
135,10,6,0,134
136,75,1,2,135
137,69,12,0,136
138,1,3,0,137
139,1,6,0,138
140,21,6,0,139
141,76,1,2,140
142,5,6,0,141
143,4,1,0,142
144,46,1,0,143
145,77,1,2,144
146,78,1,0,145
147,79,1,0,146
148,0,3,0,147
149,68,6,0,148
150,52,1,0,149
151,16,3,0,150
152,46,1,0,151
153,80,1,1,152
154,81,6,3,153
155,82,6,0,154
156,10,6,0,155
157,24,1,0,156
158,49,1,0,157
159,83,6,2,158
160,12,13,0,159
161,8,1,0,160
162,65,6,0,161
163,32,1,2,162
164,84,1,2,163
165,85,1,0,164
166,86,1,3,165
167,87,6,0,166
168,10,6,3,167
169,7,6,3,168
170,88,6,2,169
171,19,6,0,170
172,89,6,3,171
173,90,6,1,172
174,68,6,2,173
175,16,6,0,174
176,32,6,0,175
177,91,3,0,176
178,92,6,1,177
179,4,6,0,178
180,93,6,2,179
181,94,6,3,180
182,9,6,0,181
183,0,13,0,182
184,44,6,0,183
185,95,6,0,184
186,33,2,1,185
187,75,6,3,186
188,22,3,0,187
189,16,6,0,188
190,96,6,0,189
191,11,6,1,190
192,97,6,2,191
193,10,8,0,192
194,0,6,0,193
195,69,4,0,194
196,98,13,0,195
197,68,3,0,196
198,27,14,0,197
199,16,6,0,198
200,68,3,0,199
201,99,6,1,200
202,24,6,0,201
203,24,6,0,202
204,22,3,0,203
205,26,6,0,204
206,100,13,3,205
207,22,3,0,206
