Location_ID,Latitude,Longitude
0,42.34638135,-71.10379454
1,42.31684135,-71.07458456
2,42.34284135,-71.09698955
3,42.3164411,-71.06582908
4,42.27051636,-71.11989955
5,42.31328183,-71.0530059
6,42.32425136,-71.08620956
7,42.34924634,-71.06378456
8,42.32170135,-71.08190956
9,42.35168135,-71.12518954
10,42.33394861,-71.07537988
11,42.28813781,-71.0948495
12,42.33166635,-71.10762954
13,42.33217135,-71.04223957
14,42.29402635,-71.06054456
15,42.33614915,-71.0467171
16,42.32543556,-71.06387302
17,42.28410417,-71.04613468
18,42.35086634,-71.06070956
19,42.2680897,-71.09909872
20,42.29751636,-71.06447956
21,42.37848634,-71.03342957
22,42.35693634,-71.06249456
23,42.36746634,-71.07019955
24,42.32623635,-71.10315955
25,42.29928135,-71.05918456
26,42.38054134,-71.03925957
27,42.26320137,-71.16580953
28,42.30746136,-71.07596956
29,42.31776637,-71.04205955
30,42.31981136,-71.08138956
31,42.30911635,-71.08283956
32,42.35725634,-71.05631456
33,42.35631634,-71.05431456
34,42.34938895,-71.14242987
35,42.28245637,-71.06981457
36,42.34805135,-71.08813956
37,42.33326635,-71.08299956
38,42.36396134,-71.05597956
39,42.32144135,-71.09680955
40,42.35485134,-71.05367956
41,42.35876135,-71.05157957
42,42.34653635,-71.13511954
43,42.28391136,-71.11729954
44,42.32542135,-71.06966956
45,42.35823135,-71.14064953
46,42.27459636,-71.14841453
47,42.35535484,-71.06310606
48,42.2925326,-71.11971445
49,42.37347634,-71.03988957
50,42.28385447,-71.12338411
51,42.35346134,-71.06419956
52,42.26850953,-71.12883588
53,42.31335135,-71.08361455
54,42.39329401,-71.0086428
55,42.34803635,-71.09419955
56,42.35801134,-71.06055956
57,42.32422656,-71.07757817
58,42.32792506,-71.07770104
59,42.3286598,-71.08561842
60,42.35120135,-71.17311952
61,42.28820136,-71.07680956
62,42.37468775,-71.03891217
63,42.27590186,-71.09503423
64,42.26474137,-71.15819954
65,42.28702136,-71.07707955
66,42.37928715,-71.0579425
67,42.29433636,-71.07544956
68,42.36354634,-71.05453956
69,42.36829134,-71.03476958
70,42.30815635,-71.06966456
71,42.31864846,-71.0816326
72,42.35055135,-71.06148957
73,42.25678059,-71.12916296
74,42.35914634,-71.05461456
75,42.33676635,-71.07665456
76,42.35184134,-71.05719456
77,42.30468635,-71.05908456
78,42.34969134,-71.06520956
79,42.28424136,-71.08112956
80,42.38166634,-71.04034456
81,42.34111635,-71.07693456
82,42.31135135,-71.05460457
83,42.25059584,-71.12309745
84,42.34484635,-71.13939453
85,42.25711899,-71.11717937
86,42.33604989,-71.1078052
87,42.34422635,-71.10163955
88,42.35806287,-71.12934489
89,42.35256135,-71.07977956
90,42.30167443,-71.11110671
91,42.33794635,-71.07750455
