Location_ID,Latitude,Longitude
0,42.31684135,-71.07458456
1,42.34284135,-71.09698955
2,42.27051636,-71.11989955
3,42.31328183,-71.0530059
4,42.32425136,-71.08620956
5,42.34924634,-71.06378456
6,42.32170135,-71.08190956
7,42.35168135,-71.12518954
8,42.33394861,-71.07537988
9,42.33166635,-71.10762954
10,42.33217135,-71.04223957
11,42.29402635,-71.06054456
12,42.33614915,-71.0467171
13,42.32543556,-71.06387302
14,42.28410417,-71.04613468
15,42.35086634,-71.06070956
16,42.2680897,-71.09909872
17,42.29751636,-71.06447956
18,42.37848634,-71.03342957
19,42.35693634,-71.06249456
20,42.36746634,-71.07019955
21,42.32623635,-71.10315955
22,42.29928135,-71.05918456
23,42.38054134,-71.03925957
24,42.26320137,-71.16580953
25,42.30746136,-71.07596956
26,42.31776637,-71.04205955
27,42.31981136,-71.08138956
28,42.30911635,-71.08283956
29,42.35725634,-71.05631456
30,42.35631634,-71.05431456
31,42.34938895,-71.14242987
32,42.28245637,-71.06981457
33,42.34805135,-71.08813956
34,42.33326635,-71.08299956
35,42.36396134,-71.05597956
36,42.32144135,-71.09680955
37,42.35485134,-71.05367956
38,42.35876135,-71.05157957
39,42.34653635,-71.13511954
40,42.28391136,-71.11729954
41,42.32542135,-71.06966956
42,42.35823135,-71.14064953
43,42.27459636,-71.14841453
44,42.35535484,-71.06310606
45,42.2925326,-71.11971445
46,42.37347634,-71.03988957
47,42.28385447,-71.12338411
48,42.35346134,-71.06419956
49,42.31335135,-71.08361455
50,42.39329401,-71.0086428
51,42.34803635,-71.09419955
52,42.35801134,-71.06055956
53,42.32422656,-71.07757817
54,42.32792506,-71.07770104
55,42.3286598,-71.08561842
56,42.35120135,-71.17311952
57,42.28820136,-71.07680956
58,42.37468775,-71.03891217
59,42.27590186,-71.09503423
60,42.26474137,-71.15819954
61,42.28702136,-71.07707955
62,42.37928715,-71.0579425
63,42.29433636,-71.07544956
64,42.36354634,-71.05453956
65,42.36829134,-71.03476958
66,42.30815635,-71.06966456
67,42.31864846,-71.0816326
68,42.35055135,-71.06148957
69,42.35914634,-71.05461456
70,42.33676635,-71.07665456
71,42.35184134,-71.05719456
72,42.30468635,-71.05908456
73,42.34969134,-71.06520956
74,42.28424136,-71.08112956
75,42.38166634,-71.04034456
76,42.25059584,-71.12309745
77,42.34484635,-71.13939453
78,42.25711899,-71.11717937
79,42.33604989,-71.1078052
80,42.34422635,-71.10163955
81,42.35806287,-71.12934489
82,42.35256135,-71.07977956
83,42.30167443,-71.11110671
84,42.33794635,-71.07750455
85,42.32283635,-71.10382955
86,42.29040636,-71.05115457
87,42.30593136,-71.05759957
88,42.34445634,-71.06560956
89,42.35926134,-71.05417956
90,42.36913134,-71.03973957
91,42.29476483,-71.08204862
92,42.24810096,-71.13259159
93,42.35061784,-71.12851965
94,42.26867137,-71.09379956
95,42.35047863,-71.13290212
96,42.35313135,-71.13851453
97,42.32114205,-71.09089327
98,42.33560574,-71.03656954
99,42.35170634,-71.06118456
100,42.33399593,-71.07639912
101,42.36469134,-71.06261956
102,42.25332425,-71.12466158
103,42.32723569,-71.08059616
104,42.35634134,-71.06208456
105,42.29041636,-71.07270956
106,42.32978135,-71.07442956
107,42.31787135,-71.08912955
108,42.37956634,-71.03879457
109,42.34315135,-71.07312956
110,42.32257748,-71.07284193
111,42.31617349,-71.08920463
112,42.32779635,-71.05437456
113,42.30548136,-71.10841955
114,42.35164135,-71.07485456
115,42.34238635,-71.07948956
116,42.33218135,-71.05346456
117,42.32858135,-71.05497456
118,42.35057135,-71.07881456
119,42.37750134,-71.03812957
120,42.37619134,-71.03980956
121,42.28837819,-71.08614367
122,42.34491393,-71.09641336
123,42.24662137,-71.11893955
124,42.33763635,-71.07590956
125,42.30524136,-71.08473956
126,42.27648603,-71.09135119
127,42.32731635,-71.06731956
128,42.33481135,-71.03741957
129,42.32020071,-71.06091491
130,42.34846635,-71.08665456
131,42.36028259,-71.06362866
132,42.28537261,-71.0835041
133,42.33954135,-71.05201456
134,42.31663333,-71.09171255
135,42.35647634,-71.05929456
136,42.32957067,-71.09357194
137,42.32454196,-71.08825956
138,42.26834713,-71.12790504
139,42.35991634,-71.06638956
140,42.34449135,-71.06924455
141,42.35160304,-71.1190792
142,42.32042135,-71.07776956
143,42.32902662,-71.08341206
144,42.3727862,-71.0390398
145,42.35312135,-71.12820454
146,42.36949634,-71.03745457
147,42.32501543,-71.05924631
148,42.32749583,-71.05531204
149,42.34505135,-71.14232954
150,42.37490134,-71.03870957
151,42.33455599,-71.07818596
152,42.32062135,-71.07503956
153,42.26772046,-71.1270953
154,42.26855843,-71.12593871
155,42.33807635,-71.03901457
156,42.34390634,-71.07427455
157,42.29467136,-71.05013957
158,42.23779137,-71.13158955
159,42.36218134,-71.06223957
160,42.29473195,-71.0850362
161,42.31139811,-71.07965203
162,42.30972244,-71.10427304
163,42.33325635,-71.07289955
164,42.28203636,-71.13233954
165,42.27622636,-71.13938954
166,42.28403136,-71.12686454
167,42.32540686,-71.0880266
168,42.28846636,-71.08147456
169,42.31282136,-71.06476957
170,42.28405295,-71.11241077
171,42.38395134,-71.01662958
172,42.28413251,-71.06958228
173,42.30537135,-71.06322956
174,42.25560136,-71.12415455
175,42.32888135,-71.08506956
176,42.32997135,-71.08690455
177,42.23958637,-71.13990954
178,42.34470431,-71.02941573
179,42.33315135,-71.05246456
180,42.33547635,-71.04453957
181,42.34429134,-71.03432457
182,42.35540135,-71.06046957
183,42.34968634,-71.05768456
184,42.38335634,-71.07895956
185,42.30993135,-71.08143955
186,42.35586683,-71.05996907
187,42.34231635,-71.07330956
188,42.35779634,-71.05416456
189,42.37169134,-71.03357457
190,42.35705634,-71.05727456
191,42.35075635,-71.07485456
