new year,28.83,25,44,59,32,33
martin luther,28.83,31,23,51,38,10
st.patrick,28.83,25,39,30,36
memorial,28.83,23,27,34,28
independence ,28.83,40,28,33,25
labor,28.83,32,34,29,33
halloween,28.83,45,32,32,33
thanksgiving,28.83,15,28,27,14
blackfriday,28.83,41,23,32,17
christmas,28.83,18,9,9,11
new year eve,28.83,32,35,24,24
