new year,249.53,220,276,282
martin luther,249.53,227,190,219
st.patrick,249.53,203,188,243
memorial,249.53,253,239,260
independence ,249.53,202,218,255
labor,249.53,208,250,232
halloween,249.53,248,282,266
thanksgiving,249.53,128,146,160
blackfriday,249.53,210,211,250
christmas,249.53,139,114,139
new year eve,249.53,186,199,213
