Location_ID,Latitude,Longitude
0,39.7159808,-104.980632
1,39.6534921,-104.9275042
2,39.765689,-104.865705
3,39.7434411,-104.9645363
4,39.6895787,-104.9410185
5,39.7323241,-104.9870284
6,39.7330623,-104.8850263
7,39.728937,-104.9928591
8,39.7572688,-105.0072515
9,39.7635085,-104.9729558
10,39.7784832,-104.8463763
11,39.7401529,-104.892862
12,39.7733811,-104.9497282
13,39.7316251,-104.9345359
14,39.7805172,-104.9553046
15,39.7365214,-104.9807217
16,39.6781516,-104.9131877
17,39.7835806,-105.0236084
18,39.7400317,-104.9730966
19,39.7656123,-104.9695001
20,39.7875883,-105.0201438
21,39.7968152,-104.8301227
22,39.6544725,-104.8742605
23,39.6767874,-105.0203825
24,39.7547875,-104.9780505
25,39.7639282,-104.9315896
26,39.7398438,-104.8978964
27,39.7461434,-104.993926
28,39.6941507,-104.9377767
29,39.7417083,-105.0354891
30,39.7471319,-104.9832286
31,39.7070388,-104.8875043
32,39.6905098,-105.0520246
33,39.7047216,-105.0212152
34,39.7592445,-105.0109759
35,39.7399935,-104.9622405
36,39.7515277,-104.9827374
37,39.7506155,-104.8823721
38,39.7374597,-104.9156179
39,39.7770588,-104.8474356
40,39.7398975,-104.987485
41,39.6546175,-105.052765
42,39.7932453,-104.8381853
43,39.7644693,-104.9548815
44,39.7439697,-105.0451611
45,39.6743828,-104.9132973
46,39.6983898,-105.0236288
47,39.7554368,-105.0243794
48,39.7835585,-105.025626
49,39.7626097,-104.9696686
50,39.7113579,-105.002267
51,39.7243289,-104.9887009
52,39.745717,-105.004669
53,39.7434107,-104.9596966
54,39.747667,-104.9869375
55,39.7431227,-104.9496705
56,39.7625935,-104.8700052
57,39.6786679,-104.931104
58,39.7443148,-104.9913077
59,39.7359917,-105.0415397
60,39.7130998,-104.9176514
61,39.7181529,-105.0324741
62,39.7357944,-105.0480196
63,39.6813879,-105.0249486
64,39.7098475,-104.9912483
65,39.7816455,-104.8404261
66,39.6550937,-104.922121
67,39.7262842,-105.0324057
68,39.7721266,-105.0322707
69,39.7297895,-105.0513435
70,39.6511791,-104.8811939
71,39.7383587,-104.9494768
72,39.7444319,-104.9917193
73,39.762159,-104.9079564
74,39.752742,-105.0225838
75,39.6898124,-105.025414
76,39.6312855,-105.0914181
77,39.6781451,-104.9218602
78,39.7680166,-104.9949705
79,39.713214,-105.0345225
80,39.7637966,-104.9293497
81,39.7696879,-104.8979496
82,39.6802899,-104.9033174
83,39.7456268,-104.8869966
84,39.7639789,-104.9167024
