1,723,1646,709,1720,634,1753,544,1825,500,1856,434,1923,436,1933,459,1914,529,1832,557,1743,630,1658,703,1636
2,723,1647,708,1721,632,1754,543,1826,459,1857,433,1924,436,1933,500,1913,530,1830,558,1741,631,1657,704,1636
3,723,1648,707,1722,631,1755,541,1827,458,1858,433,1925,437,1933,501,1912,530,1828,559,1739,632,1656,705,1635
4,723,1649,706,1724,629,1756,539,1828,457,1859,433,1926,437,1933,502,1911,531,1827,600,1738,633,1655,706,1635
5,723,1650,705,1725,628,1757,538,1829,456,1900,432,1926,438,1932,503,1910,532,1825,601,1736,635,1653,707,1635
6,723,1651,704,1726,626,1758,536,1830,454,1901,432,1927,438,1932,504,1908,533,1824,602,1735,636,1652,708,1635
7,723,1652,703,1727,624,1759,535,1831,453,1902,432,1927,439,1932,505,1907,534,1822,603,1733,637,1651,709,1635
8,722,1653,702,1729,623,1800,533,1832,452,1902,432,1928,440,1932,506,1906,535,1820,604,1731,638,1650,710,1635
9,722,1654,700,1730,621,1801,532,1833,451,1903,432,1928,440,1931,507,1905,536,1819,605,1730,639,1649,711,1635
10,722,1655,659,1731,620,1802,530,1834,450,1904,431,1929,441,1931,508,1903,537,1817,606,1728,640,1648,712,1635
11,722,1656,658,1732,618,1804,529,1835,449,1905,431,1930,442,1930,509,1902,538,1815,607,1727,641,1648,712,1635
12,722,1657,657,1733,617,1805,527,1836,448,1906,431,1930,442,1930,510,1901,539,1814,608,1725,643,1647,713,1636
13,721,1658,656,1734,615,1806,525,1837,447,1907,431,1930,443,1929,511,1900,540,1812,609,1724,644,1646,714,1636
14,721,1659,654,1736,613,1807,524,1838,446,1908,431,1931,444,1929,511,1858,541,1811,610,1722,645,1645,715,1636
15,720,1700,653,1737,612,1808,522,1839,445,1909,431,1931,445,1928,512,1857,542,1809,611,1721,646,1644,715,1636
16,720,1701,652,1738,610,1809,521,1840,444,1910,431,1932,445,1928,513,1856,543,1807,612,1719,647,1643,716,1637
17,720,1702,651,1739,609,1810,519,1841,443,1911,431,1932,446,1927,514,1854,544,1806,613,1718,648,1643,717,1637
18,719,1704,649,1740,607,1811,518,1842,443,1912,431,1932,447,1926,515,1853,545,1804,614,1716,649,1642,717,1637
19,719,1705,648,1741,605,1812,517,1843,442,1913,432,1932,448,1926,516,1851,546,1802,616,1715,651,1641,718,1638
20,718,1706,647,1743,604,1813,515,1844,441,1914,432,1933,449,1925,517,1850,547,1801,617,1713,652,1641,718,1638
21,717,1707,645,1744,602,1814,514,1845,440,1915,432,1933,449,1924,518,1848,547,1759,618,1712,653,1640,719,1639
22,717,1708,644,1745,600,1815,512,1846,439,1916,432,1933,450,1923,519,1847,548,1757,619,1711,654,1639,719,1639
23,716,1709,642,1746,559,1816,511,1847,439,1916,433,1933,451,1923,520,1846,549,1756,620,1709,655,1639,720,1640
24,715,1710,641,1747,557,1817,510,1848,438,1917,433,1933,452,1922,521,1844,550,1754,621,1708,656,1638,720,1640
25,715,1712,639,1748,556,1818,508,1849,437,1918,433,1933,453,1921,522,1843,551,1752,622,1707,657,1638,721,1641
26,714,1713,638,1749,554,1819,507,1850,437,1919,433,1933,454,1920,523,1841,552,1751,623,1705,658,1637,721,1642
27,713,1714,637,1751,552,1820,506,1851,436,1920,434,1933,455,1919,524,1839,553,1749,624,1704,659,1637,721,1642
28,712,1715,635,1752,551,1821,504,1853,436,1921,434,1933,456,1918,525,1838,554,1747,625,1703,700,1637,722,1643
29,712,1716,,,549,1822,503,1854,435,1921,435,1933,456,1917,526,1836,555,1746,627,1702,701,1636,722,1644
30,711,1718,,,547,1823,502,1855,435,1922,435,1933,457,1916,527,1835,556,1744,628,1700,702,1636,722,1645
31,710,1719,,,546,1824,,,434,1923,,,458,1915,528,1833,,,629,1659,,,722,1645
